brand,model,de_price,uk_price,nl_price,acceleration,top_speed,range,efficiency,fastcharge,towing_capacity,useable_battery,v2l,v2h,v2g,availability,year
VOLKSWAGEN,ID.4 PRO,54950,,56915,67,180,435,177,650,1200,77.0,No,H,G,Available to order since September 2023,2023
VOLKSWAGEN,ID.4 PRO S,52000,50000,55000,68,180,450,171,670,0,77.0,No,H,G,Availability not found,2023
VOLKSWAGEN,ID.4 AWD PRO,41990,34995,39995,88,160,290,167,280,300,48.4,L,No,No,Available to order since July 2023,2023
VOLKSWAGEN,ID.4 AWD PRO S,37790,32315,41741,117,135,205,226,330,750,46.3,No,No,No,Available to order since September 2021,2023
VOLVO,C40 RECHARGE,59500,,63900,40,200,385,183,520,1400,70.5,No,No,No,Available to order since July 2023,2023
VOLVO,XC40 RECHARGE,37490,31000,35000,67,180,255,184,330,0,47.0,No,No,No,Available to order since November 2023,2023
VOLVO,C40 RECHARGE RWD,,53010,,77,160,350,190,500,1800,66.5,No,No,No,Available to order since May 2021,2023
VOLVO,C40 RECHARGE AWD,55800,50830,51200,73,180,380,191,460,750,72.6,No,No,No,Available to order since October 2023,2023
VOLVO,XC40 RECHARGE RWD,98863,83654,104707,54,230,485,173,1190,0,83.7,No,No,No,Available to order since January 2023,2023
VOLVO,XC40 RECHARGE AWD,197740,148300,206163,28,260,430,195,1060,0,83.7,No,No,No,Available to order since January 2023,2023
,,129000,,134000,32,250,580,159,970,0,92.0,L,H,G,Available to order since May 2023,2023
,,39563,,42950,75,150,315,190,380,0,60.0,No,No,No,Available to order since April 2022,2023
,,,,37995,89,155,260,196,240,0,51.0,No,No,No,Available to order since October 2021,2023
,,30990,28195,28990,90,135,135,158,230,0,21.3,No,No,No,Available to order since November 2020,2023
,,33000,30000,35990,73,160,235,157,360,0,37.0,No,No,No,Availability not found,2023
,,,,102995,49,200,460,243,420,1500,112.0,No,No,No,Available to order since September 2023,2023
,,109000,,115000,42,200,590,156,990,0,92.0,L,H,G,Available to order since May 2023,2023
